text,language,state,intent
Who are you,en,,greeting
What movies are playing,en,,unknown
Describe the Indus Valley Civilization at Dholavira,en,Gujarat,historical_period
Warli art baddal mahiti dya,mr,Maharashtra,craft_information
Describe Gond tribal art,en,Madhya Pradesh,craft_information
Bhangra nritya ke baare mein batao,hi,Punjab,festival_information
Describe Chola Bronze sculptures,en,Tamil Nadu,craft_information
Tell me about Amber Fort,en,Rajasthan,heritage_information
Punjab di virasat bare daso,pa,Punjab,heritage_information
I have a question about heritage,en,,heritage_information
Show me heritage sites in Gujarat,en,Gujarat,state_exploration
Tell me about Goa heritage,en,Goa,state_exploration
Hi there,en,,greeting
What is the location of Meenakshi Temple,en,Tamil Nadu,location_information
Tell me about history,en,,historical_period
Tell me about Indian classical dance,en,Tamil Nadu,festival_information
Sun Temple Modhera vishay ma jano,gu,Gujarat,heritage_information
வணக்கம்,ta,,greeting
What can I explore in Maharashtra,en,Maharashtra,state_exploration
Tamil Nadu koilgalai patri sollunga,ta,Tamil Nadu,heritage_information
Hawa Mahal kyun famous hai,hi,Rajasthan,heritage_information
Rajasthan ki virasat ke baare mein batao,hi,Rajasthan,state_exploration
Gujarat na varshe vishay ma jano,gu,Gujarat,heritage_information
What are famous Indian monuments,en,,heritage_information
Golden Temple ka itihas batao,hi,Punjab,heritage_information
Phulkari kive bani jandi hai,pa,Punjab,craft_information
Hello how are you,en,,greeting
Tell me about Khajuraho Temples,en,Madhya Pradesh,heritage_information
Show me heritage sites in Rajasthan,en,Rajasthan,state_exploration
नमस्कार,hi,,greeting
What is the capital of France,en,,unknown
Tell me about Sikh heritage in Punjab,en,Punjab,heritage_information
What can I see in Goa,en,Goa,state_exploration
What folk dances are famous in India,en,Gujarat,festival_information
What is Hawa Mahal,en,Rajasthan,heritage_information
Chola bronzes eppadi seyvadhunu solunga,ta,Tamil Nadu,craft_information
What stocks should I buy,en,,unknown
What is the significance of stepwells in India,en,Gujarat,heritage_information
Who won the cricket match,en,,unknown
Tell me about climate change,en,,unknown
Hey how are you doing,en,,greeting
What is 2 plus 2,en,,unknown
ਸਤਿ ਸ੍ਰੀ ਅਕਾਲ,pa,,greeting
What is this application about,en,,greeting
What era was the Sun Temple built in,en,Gujarat,historical_period
Hello,en,,greeting
Who built Modhera Sun Temple,en,Gujarat,person_information
Golden Temple da itihas daso,pa,Punjab,heritage_information
I want to learn about heritage,en,,state_exploration
How does this chatbot work,en,,greeting
What is Garba dance,en,Gujarat,festival_information
What is the Sanchi Stupa,en,Madhya Pradesh,heritage_information
Rajasthan ke killo ke baare mein batao,hi,Rajasthan,heritage_information
Namaskar,hi,,greeting
Tell me about space exploration,en,,unknown
वणक्कम்,ta,,greeting
What centuries are covered in the timeline,en,,historical_period
Describe Phulkari embroidery,en,Punjab,craft_information
Tell me about Delhi heritage,en,Delhi,state_exploration
Describe the Dholavira archaeological site,en,Gujarat,heritage_information
What is the Goa Carnival,en,Goa,festival_information
Tell me about the Sultanate period,en,Gujarat,historical_period
Punjab ki virasat ke baare mein batao,hi,Punjab,state_exploration
Tell me about Indian textile traditions,en,Gujarat,craft_information
Ajanta Cave s baddal mahiti dya,mr,Maharashtra,heritage_information
What is Bharatanatyam dance,en,Tamil Nadu,heritage_information
Tell me a joke,en,,unknown
Where is Rani ki Vav located,en,Gujarat,location_information
Describe Chandni Chowk market,en,Delhi,heritage_information
Tell me about the Maratha era,en,Maharashtra,historical_period
Bhangra nritya bare daso,pa,Punjab,festival_information
Punjab vich ki vekhna chahida,pa,Punjab,state_exploration
Maharashtra chi killa kuthhe ahet,mr,Maharashtra,heritage_information
Rajasthan mein kya dekhna chahiye,hi,Rajasthan,state_exploration
Where can I find Warli art,en,Maharashtra,location_information
What city is Amber Fort in,en,Rajasthan,location_information
What is the Qutub Minar,en,Delhi,heritage_information
Tell me about Punjab heritage,en,Punjab,state_exploration
What crafts are famous in Kutch,en,Gujarat,craft_information
What temples are in Tamil Nadu,en,Tamil Nadu,heritage_information
