text,language,state,intent
What is the Panna diamond heritage region,en,Madhya Pradesh,heritage_information
rajkot ma watson museum vishe janavo,gu,Gujarat,heritage_information
gandhi ji nu jivan vishe batavo,gu,Gujarat,person_information
Which cities in Gujarat have historical importance,en,Gujarat,state_exploration
Tell me about the churches of Old Goa,en,Goa,heritage_information
tu kya chhe,gu,,greeting
What are the famous fairs of Gujarat,en,Gujarat,festival_information
Tell me about the Chola bronze casting technique,en,Tamil Nadu,craft_information
su chhe majama,gu,,greeting
Who was Rajaraja Chola,en,Tamil Nadu,person_information
Tell me about the Asiatic Lion in Gir,en,Gujarat,heritage_information
Describe the Lavani dance form,en,Maharashtra,festival_information
What makes Madhya Pradesh heritage special,en,Madhya Pradesh,heritage_information
सत श्री अकाल,hi,,greeting
Describe the Kolhapuri chappal craft,en,Maharashtra,craft_information
ok su karo abhi,gu,,greeting
gujarat ma kai national parks chhe,gu,Gujarat,state_exploration
gujarat ma kai religious places chhe,gu,Gujarat,heritage_information
Tell me about cricket rules,en,,unknown
Tell me about Gujarat heritage,en,Gujarat,state_exploration
What festivals are celebrated in Gujarat,en,Gujarat,festival_information
modhera surya mandir vishe mahiti aapo,gu,Gujarat,heritage_information
What is the significance of Ajmer Sharif Dargah,en,Rajasthan,heritage_information
Tell me about the Rani no Hajiro in Ahmedabad,en,Gujarat,heritage_information
What is the Sanchi Stupa,en,Madhya Pradesh,heritage_information
Tell me about Ajrakh block printing,en,Gujarat,craft_information
patan ni rani ki vav vishe janavo,gu,Gujarat,heritage_information
Tell me about Champaner-Pavagadh Archaeological Park,en,Gujarat,heritage_information
Tell me about the Divar Island heritage,en,Goa,heritage_information
What is the Ganesh Chaturthi festival in Maharashtra,en,Maharashtra,festival_information
bhai su chhe,gu,,greeting
vadodara ma kai jova lakhay chhe,gu,Gujarat,state_exploration
Describe the Bagh cave paintings,en,Madhya Pradesh,heritage_information
Gujarat na heritage places,en,Gujarat,heritage_information
Tell me about the Hill Forts of Rajasthan UNESCO site,en,Rajasthan,heritage_information
Warli art baddal mahiti dya,mr,Maharashtra,craft_information
rajkot ma darbargadh kya chhe,gu,Gujarat,location_information
Describe the Partition Museum in Amritsar,en,Punjab,heritage_information
Tell me about Goa heritage,en,Goa,state_exploration
What is the meaning of life,en,,unknown
modhera ni vav vishe janavo,gu,Gujarat,heritage_information
Who was Rana Sanga of Mewar,en,Rajasthan,person_information
What is the significance of Dilwara Temples,en,Rajasthan,heritage_information
gujarat ma kai ashram chhe,gu,Gujarat,heritage_information
Describe the Khajuraho sculpture tradition,en,Madhya Pradesh,craft_information
What historical events shaped Punjab,en,Punjab,historical_period
gujarat ma kaya festivals manavama aave chhe,gu,Gujarat,festival_information
What is the Desert Festival of Jaisalmer,en,Rajasthan,festival_information
What can I see in Rajasthan,en,Rajasthan,state_exploration
What is the Qutub Minar,en,Delhi,heritage_information
What is the location of Meenakshi Temple,en,Tamil Nadu,location_information
How do I learn a new language,en,,unknown
What is the Great Living Chola Temples UNESCO site,en,Tamil Nadu,heritage_information
surat ma castle chhe kya,gu,Gujarat,location_information
Describe the Bundi school of miniature painting,en,Rajasthan,craft_information
kutch ma kai crafts chhe,gu,Gujarat,craft_information
Who was Gulab Singh and Jammu heritage,en,Delhi,historical_period
Tell me about the Mangueshi Temple,en,Goa,heritage_information
rani ki vav vishe mahiti aapo,gu,Gujarat,heritage_information
Describe the traditional mud mirror work of Kutch,en,Gujarat,craft_information
Tell me about the Pachmarhi hill station heritage,en,Madhya Pradesh,heritage_information
sabarmati riverfront vishe janavo,gu,Gujarat,heritage_information
Describe the traditional Rajasthani Leheriya textile,en,Rajasthan,craft_information
Tell me about different heritage sites for each state,en,,state_exploration
Describe the traditional Garba dance,en,Gujarat,festival_information
What is the significance of Thanjavur Brihadeeswara Temple,en,Tamil Nadu,heritage_information
Tell me about the history of Alwar and Sariska,en,Rajasthan,historical_period
What is the significance of Mangeshi Temple architecture,en,Goa,heritage_information
gujarat ma kai riverfront chhe,gu,Gujarat,state_exploration
Describe the traditional Rajasthani Ghoomar dance,en,Rajasthan,festival_information
Tell me about Orchha heritage town,en,Madhya Pradesh,heritage_information
Tell me about the Sultanate period in Delhi,en,Delhi,historical_period
How old is the Sun Temple at Modhera,en,Gujarat,historical_period
gujarat na famous persons kai chhe,gu,Gujarat,person_information
Tell me about Ranjit Singh's legacy,en,Punjab,person_information
Describe the Delhi Sultanate period architecture,en,Delhi,historical_period
Tamil Nadu koilgalai patri sollunga,ta,Tamil Nadu,heritage_information
Tell me about space exploration,en,,unknown
What is machine learning,en,,unknown
Tell me about Mount Abu and its heritage,en,Rajasthan,heritage_information
Tell me about the Feroz Shah Kotla ruins,en,Delhi,heritage_information
Describe the Paithani silk saree tradition,en,Maharashtra,craft_information
Describe the architectural marvel of Rani ki Vav,en,Gujarat,heritage_information
What is the significance of Chittorgarh Fort,en,Rajasthan,heritage_information
What is the history of Jodhpur blue city,en,Rajasthan,historical_period
Tamil Nadu ina pagudhigalai patri sollunga,ta,Tamil Nadu,state_exploration
Who was Narsinh Mehta,en,Gujarat,person_information
Tell me about Rajasthan forts and palaces,en,Rajasthan,heritage_information
Tell me about the Beehive Tombs of Kutch,en,Gujarat,heritage_information
Tell me about Khajuraho Temples,en,Madhya Pradesh,heritage_information
Tell me about the Sangam period literature,en,Tamil Nadu,historical_period
Tell me about Humayun Tomb architecture,en,Delhi,heritage_information
Tell me about the Maratha era,en,Maharashtra,historical_period
Tell me about the Bundi stepwells of Rajasthan,en,Rajasthan,heritage_information
aapde ketla vadya chhe,gu,,unknown
Who founded the city of Ahmedabad,en,Gujarat,person_information
Tell me about the Reis Magos Fort,en,Goa,heritage_information
How old is the Dholavira site,en,Gujarat,historical_period
Tell me about the Solanki dynasty in Gujarat,en,Gujarat,historical_period
What is the significance of Bhuj in Kutch,en,Gujarat,location_information
What historical places are important in India,en,,state_exploration
What is Bandhani textile art,en,Gujarat,craft_information
modhera surya mandir kya chhe,gu,Gujarat,location_information
Where is the Red Fort in Delhi,en,Delhi,location_information
How does this chatbot work,en,,greeting
What is the Akal Takht and its significance,en,Punjab,heritage_information
How do I fix my computer,en,,unknown
Tell me about the Udayagiri Caves,en,Madhya Pradesh,heritage_information
Who was Thiruvalluvar,en,Tamil Nadu,person_information
somnath mandir kya avelu chhe,gu,Gujarat,location_information
mahatma gandhi ne kya janavu chhe,gu,Gujarat,person_information
Who was Jodha Bai,en,Rajasthan,person_information
Describe the Madras music season,en,Tamil Nadu,festival_information
What is the importance of Somnath Temple,en,Gujarat,heritage_information
Tell me about climate change,en,,unknown
dhrangadhra heritage vishe janavo,gu,Gujarat,heritage_information
How do I lose weight,en,,unknown
Describe the Pokhran Fort history,en,Rajasthan,historical_period
Describe the Kundan jewelry tradition of Rajasthan,en,Rajasthan,craft_information
Good morning,en,,greeting
gujarat ma kai songs chhe,gu,Gujarat,craft_information
What is the Joari Bazaar heritage of Jaipur,en,Rajasthan,heritage_information
Tell me about the Sikh Gurus and Punjab,en,Punjab,historical_period
Describe Phulkari embroidery,en,Punjab,craft_information
क्या आप मुझे भारतीय विरासत के बारे में बता सकते हैं,hi,,heritage_information
Tell me about the Toorji Ka Jhalra stepwell,en,Rajasthan,heritage_information
Tell me about Maharashtra heritage,en,Maharashtra,state_exploration
Who built Modhera Sun Temple,en,Gujarat,person_information
gujarat na kai jyotirlinga chhe,gu,Gujarat,heritage_information
Describe Warli tribal art,en,Maharashtra,craft_information
Who was the founder of Ahmedabad,en,Gujarat,person_information
What is the history of Bhopal and its heritage,en,Madhya Pradesh,historical_period
Rajasthan ke killo ke baare mein batao,hi,Rajasthan,heritage_information
Who was Bahadur Shah Zafar and Delhi,en,Delhi,person_information
Who was Chhatrapati Shivaji Maharaj,en,Maharashtra,person_information
Tell me about the Rann of Kutch festival,en,Gujarat,festival_information
What is the meaning of philosophy,en,,unknown
Maharashtra madhe kya pahayla milel,mr,Maharashtra,state_exploration
Hawa Mahal kyun famous hai,hi,Rajasthan,heritage_information
Who was Rani Padmini of Chittor,en,Rajasthan,person_information
ahmedabad ni old city vishe janavo,gu,Gujarat,heritage_information
What is the population of India,en,,unknown
What is the significance of Cambay,en,Gujarat,location_information
Rajasthan ki virasat ke baare mein batao,hi,Rajasthan,state_exploration
What is Bhangra dance,en,Punjab,festival_information
garba nritya vishe janavo,gu,Gujarat,festival_information
Tell me about the Safdarjung Tomb,en,Delhi,heritage_information
gujarat na heritage places vishe janavo,gu,Gujarat,heritage_information
Blue pottery kaise banti hai,hi,Rajasthan,craft_information
gujarat na kila vishe janavo,gu,Gujarat,heritage_information
surat ni history janavo,gu,Gujarat,historical_period
Amritsar de heritage sites daso,pa,Punjab,heritage_information
Tell me about Madhya Pradesh heritage,en,Madhya Pradesh,state_exploration
lothal archaeological site vishe mahiti aapo,gu,Gujarat,heritage_information
Describe the cultural heritage of Delhi,en,Delhi,heritage_information
modhera ma shu chhe,gu,Gujarat,heritage_information
What temples are in Gujarat,en,Gujarat,heritage_information
gujarat ma weather shu chhe,gu,,unknown
bhuj ma bhujia kai rite banay chhe,gu,Gujarat,craft_information
gujarat ma kai museum chhe,gu,Gujarat,heritage_information
Tell me about Jama Masjid Delhi,en,Delhi,heritage_information
rajkot ma kai heritage places chhe,gu,Gujarat,state_exploration
gujarat na tribal heritage vishe janavo,gu,Gujarat,heritage_information
What is Rani ki Vav,en,Gujarat,heritage_information
Tell me a joke,en,,unknown
gujarat ma kai pilgrimage places chhe,gu,Gujarat,heritage_information
gujarat ma kya famous chhe,gu,Gujarat,state_exploration
Describe the Calico Museum of Textiles,en,Gujarat,heritage_information
Tell me about the Vidarbha heritage,en,Maharashtra,heritage_information
What is the Gateway of Rajasthan,en,Rajasthan,heritage_information
Tell me about the weather in Gujarat,en,,unknown
vadodara ma lakshmi vilas palace chhe kya,gu,Gujarat,location_information
What is the weather like today,en,,unknown
Describe the Bharatanatyam classical dance tradition,en,Tamil Nadu,festival_information
Describe the Mughal architectural style in Delhi,en,Delhi,heritage_information
Can you order food for me,en,,unknown
ahmedabad ma heritage walk chhe kya,gu,Gujarat,location_information
Jallianwala Bagh mein kya hua tha,hi,Punjab,heritage_information
Tell me about Rajasthan heritage,en,Rajasthan,state_exploration
Describe the traditional Punjabi Jutti footwear craft,en,Punjab,craft_information
Tell me about Indian stepwell architecture,en,Gujarat,craft_information
Describe the traditional blue pottery of Jaipur,en,Rajasthan,craft_information
What is the Legend of Padmapriya,en,Gujarat,heritage_information
तमिऴ्नाड்டின் பாரம்பரிய இடங்களைப் பற்றி சொல்லுங்கள்,ta,Tamil Nadu,heritage_information
kutch ni bandhani vishe janavo,gu,Gujarat,craft_information
Ajanta Caves baddal mahiti dya,mr,Maharashtra,heritage_information
Tell me about the Mughal period in Gujarat,en,Gujarat,historical_period
Can you explain blockchain to me,en,,unknown
gujarat no warli art vishe batavo,gu,Gujarat,craft_information
What is the Portuguese colonial heritage of Goa,en,Goa,historical_period
kutch ma ran utsav vishe janavo,gu,Gujarat,festival_information
Describe Chola Bronze sculptures,en,Tamil Nadu,craft_information
somanath thi dwarka ketla km chhe,gu,Gujarat,location_information
What are the famous cuisines of Rajasthan,en,Rajasthan,craft_information
What is Lippan Kaam art,en,Gujarat,craft_information
What is the significance of Palitana temples,en,Gujarat,heritage_information
Tell me about the Red Fort history and Mughal architecture,en,Delhi,heritage_information
What is the temple architecture of Dravidian style,en,Tamil Nadu,craft_information
What is the Maratha war history,en,Maharashtra,historical_period
jama masjid ahmedabad vishe janavo,gu,Gujarat,heritage_information
What heritage sites can I explore,en,,state_exploration
Describe the Kolam rangoli tradition,en,Tamil Nadu,craft_information
gujarat na stepwells ni history janavo,gu,Gujarat,historical_period
Tell me about Red Fort Delhi,en,Delhi,heritage_information
Describe the Kathputli puppet tradition of Rajasthan,en,Rajasthan,craft_information
Golden Temple da itihas daso,pa,Punjab,heritage_information
