text,language,state,intent
Tell me about the Sun Temple in Gujarat,en,Gujarat,heritage_information
What is Rani ki Vav,en,Gujarat,heritage_information
How is Patan connected to Patola weaving,en,Gujarat,craft_information
Tell me about Mahatma Gandhi,en,Gujarat,person_information
What is Garba dance,en,Gujarat,festival_information
Describe the Dholavira archaeological site,en,Gujarat,heritage_information
What crafts are famous in Kutch,en,Gujarat,craft_information
Tell me about Adalaj Stepwell,en,Gujarat,heritage_information
What is Patola silk weaving,en,Gujarat,craft_information
Who built Modhera Sun Temple,en,Gujarat,person_information
Tell me about Gujarat heritage,en,Gujarat,state_exploration
What can I explore in Gujarat,en,Gujarat,state_exploration
Where is Rani ki Vav located,en,Gujarat,location_information
Which district has Dholavira,en,Gujarat,location_information
What is the significance of stepwells in India,en,Gujarat,heritage_information
Tell me about Indian textile traditions,en,Gujarat,craft_information
Show me heritage sites in Gujarat,en,Gujarat,state_exploration
What temples are in Gujarat,en,Gujarat,heritage_information
What forts are in Gujarat,en,Gujarat,heritage_information
Who was Sardar Vallabhbhai Patel,en,Gujarat,person_information
What happened at Sabarmati Ashram,en,Gujarat,heritage_information
Tell me about the Indus Valley Civilization at Dholavira,en,Gujarat,historical_period
What era was the Sun Temple built in,en,Gujarat,historical_period
What historical periods are covered in the Gujarat timeline,en,Gujarat,historical_period
Tell me about the Solanki dynasty in Gujarat,en,Gujarat,historical_period
Who built Rani ki Vav in Patan,en,Gujarat,person_information
What is Bandhani textile art,en,Gujarat,craft_information
How old is the Dholavira site,en,Gujarat,historical_period
What is the importance of Somnath Temple,en,Gujarat,heritage_information
Tell me about Dwarkadhish Temple,en,Gujarat,heritage_information
What traditional crafts does Kutch produce,en,Gujarat,craft_information
Tell me about the Rann of Kutch festival,en,Gujarat,festival_information
How is Navratri celebrated in Gujarat,en,Gujarat,festival_information
What is the history of Ahmedabad old city,en,Gujarat,historical_period
Tell me about the Jama Masjid of Ahmedabad,en,Gujarat,heritage_information
Tell me about Amber Fort,en,Rajasthan,heritage_information
What is Hawa Mahal,en,Rajasthan,heritage_information
Describe Blue Pottery of Jaipur,en,Rajasthan,craft_information
Tell me about Rajasthan heritage,en,Rajasthan,state_exploration
What can I see in Rajasthan,en,Rajasthan,state_exploration
What city is Amber Fort in,en,Rajasthan,location_information
Rajasthan ke killo ke baare mein batao,hi,Rajasthan,heritage_information
Amber Fort ka itihas batao,hi,Rajasthan,heritage_information
Hawa Mahal kyun famous hai,hi,Rajasthan,heritage_information
Rajasthan ki virasat ke baare mein batao,hi,Rajasthan,state_exploration
Blue pottery kaise banti hai,hi,Rajasthan,craft_information
Rajasthan mein kya dekhna chahiye,hi,Rajasthan,state_exploration
Tell me about Golden Temple,en,Punjab,heritage_information
What happened at Jallianwala Bagh,en,Punjab,heritage_information
Describe Phulkari embroidery,en,Punjab,craft_information
Tell me about Punjab heritage,en,Punjab,state_exploration
What is Bhangra dance,en,Punjab,festival_information
What city has the Golden Temple,en,Punjab,location_information
Tell me about Sikh heritage in Punjab,en,Punjab,heritage_information
Bhangra nritya ke baare mein batao,hi,Punjab,festival_information
Golden Temple ka itihas batao,hi,Punjab,heritage_information
Punjab ki virasat ke baare mein batao,hi,Punjab,state_exploration
Phulkari kaise banti hai,hi,Punjab,craft_information
Jallianwala Bagh mein kya hua tha,hi,Punjab,heritage_information
Punjab mein kya dekhna chahiye,hi,Punjab,state_exploration
Tell me about Ajanta Caves,en,Maharashtra,heritage_information
What are the Ellora Caves,en,Maharashtra,heritage_information
Describe Warli tribal art,en,Maharashtra,craft_information
Tell me about Maharashtra heritage,en,Maharashtra,state_exploration
What can I explore in Maharashtra,en,Maharashtra,state_exploration
What forts are in Maharashtra,en,Maharashtra,heritage_information
Where are the Ajanta Caves,en,Maharashtra,location_information
Tell me about the Maratha era,en,Maharashtra,historical_period
Maharashtra chi killa kuthhe ahet,mr,Maharashtra,heritage_information
