text,language,state,intent
Tell me about the Sun Temple in Gujarat,en,Gujarat,heritage_information
What is Rani ki Vav,en,Gujarat,heritage_information
How is Patan connected to Patola weaving,en,Gujarat,craft_information
Tell me about Mahatma Gandhi,en,Gujarat,person_information
What is Garba dance,en,Gujarat,festival_information
Describe the Dholavira archaeological site,en,Gujarat,heritage_information
What crafts are famous in Kutch,en,Gujarat,craft_information
Tell me about Adalaj Stepwell,en,Gujarat,heritage_information
What is Patola silk weaving,en,Gujarat,craft_information
Who built Modhera Sun Temple,en,Gujarat,person_information
Tell me about Gujarat heritage,en,Gujarat,state_exploration
What can I explore in Gujarat,en,Gujarat,state_exploration
Gujarat na varshe vishay ma jano,gu,Gujarat,heritage_information
Rani ki Vav gurunichi mahiti dayo,gu,Gujarat,heritage_information
Patan ni Patola kalaa vishay ma jano,gu,Gujarat,craft_information
Mahatma Gandhi vishay ma jano,gu,Gujarat,person_information
Garba nritya vishay ma jano,gu,Gujarat,festival_information
Gujarat na vidyaman sthalo explor karo,gu,Gujarat,state_exploration
Dholavira archaeological site gurunichi mahiti dayo,gu,Gujarat,heritage_information
Sun Temple Modhera vishay ma jano,gu,Gujarat,heritage_information
Adalaj ni Vav gurunichi mahiti dayo,gu,Gujarat,heritage_information
Kutch na hathkala vishay ma jano,gu,Gujarat,craft_information
Rajasthan ke killo ke baare mein batao,hi,Rajasthan,heritage_information
Amber Fort ka itihas batao,hi,Rajasthan,heritage_information
Hawa Mahal kyun famous hai,hi,Rajasthan,heritage_information
Rajasthan ki virasat ke baare mein batao,hi,Rajasthan,state_exploration
Blue pottery kaise banti hai,hi,Rajasthan,craft_information
Rajasthan mein kya dekhna chahiye,hi,Rajasthan,state_exploration
Bhangra nritya ke baare mein batao,hi,Punjab,festival_information
Golden Temple ka itihas batao,hi,Punjab,heritage_information
Punjab ki virasat ke baare mein batao,hi,Punjab,state_exploration
Phulkari kaise banti hai,hi,Punjab,craft_information
Jallianwala Bagh mein kya hua tha,hi,Punjab,heritage_information
Punjab mein kya dekhna chahiye,hi,Punjab,state_exploration
Maharashtra chi killa kuthhe ahet,mr,Maharashtra,heritage_information
Ajanta Cave s baddal mahiti dya,mr,Maharashtra,heritage_information
Ellora Cave s baddal mahiti dya,mr,Maharashtra,heritage_information
Warli art baddal mahiti dya,mr,Maharashtra,craft_information
Maharashtra chya virasat baddal vichara,mr,Maharashtra,state_exploration
Tamil Nadu koilgalai patri sollunga,ta,Tamil Nadu,heritage_information
Bharatanatyam varalaru sollunga,ta,Tamil Nadu,heritage_information
Chola bronzes eppadi seyvadhunu solunga,ta,Tamil Nadu,craft_information
Tamil Nadu ina pagudhigalai patri sollunga,ta,Tamil Nadu,state_exploration
Meenakshi Amman Temple patri sollunga,ta,Tamil Nadu,heritage_information
Punjab di virasat bare daso,pa,Punjab,heritage_information
Golden Temple da itihas daso,pa,Punjab,heritage_information
Bhangra nritya bare daso,pa,Punjab,festival_information
Phulkari kive bani jandi hai,pa,Punjab,craft_information
Punjab vich ki vekhna chahida,pa,Punjab,state_exploration
Tell me about Amber Fort,en,Rajasthan,heritage_information
What is Hawa Mahal,en,Rajasthan,heritage_information
Describe Blue Pottery of Jaipur,en,Rajasthan,craft_information
Tell me about Rajasthan heritage,en,Rajasthan,state_exploration
What can I see in Rajasthan,en,Rajasthan,state_exploration
Tell me about Golden Temple,en,Punjab,heritage_information
What happened at Jallianwala Bagh,en,Punjab,heritage_information
Describe Phulkari embroidery,en,Punjab,craft_information
Tell me about Punjab heritage,en,Punjab,state_exploration
What is Bhangra dance,en,Punjab,festival_information
Tell me about Ajanta Caves,en,Maharashtra,heritage_information
What are the Ellora Caves,en,Maharashtra,heritage_information
Describe Warli tribal art,en,Maharashtra,craft_information
Tell me about Maharashtra heritage,en,Maharashtra,state_exploration
What can I explore in Maharashtra,en,Maharashtra,state_exploration
