text,language,script,state,intent,normalized_text
gujarat na heritage places vishe janavo,gu,roman,Gujarat,heritage_information,ગુજરાતના હેરિટેજ પ્લેસેસ વિશે જાણવો
modhera surya mandir vishe mahiti aapo,gu,roman,Gujarat,heritage_information,મોઢેરા સૂર્ય મંદિર વિશે માહિતી આપો
rani ki vav kya aveli chhe,gu,roman,Gujarat,location_information,રાણી કી વાવ ક્યાં આવેલી છે
gujarat ma kaya historical places chhe,gu,roman,Gujarat,state_exploration,ગુજરાત માં કયા હિસ્ટોરિકલ પ્લેસેસ છે
somnath mandir no itihas janavo,gu,roman,Gujarat,heritage_information,સોમનાથ મંદિરનો ઇતિહાસ જાણવો
ahmedabad ni heritage sites batavo,gu,roman,Gujarat,state_exploration,અમદાવાદની હેરિટેજ સાઇટ્સ બતાવો
gujarat na kila vishe janavo,gu,roman,Gujarat,heritage_information,ગુજરાતના કિલ્લા વિશે જાણવો
gujarat ni sanskrutik virasat shu chhe,gu,roman,Gujarat,state_exploration,ગુજરાતની સાંસ્કૃતિક વિરાસત શું છે
gujarat ma farva jeva historical places kaya chhe,gu,roman,Gujarat,state_exploration,ગુજરાત માં ફરવા જેવા હિસ્ટોરિકલ પ્લેસેસ કયા છે
gujarat no itihas janavo,gu,roman,Gujarat,historical_period,ગુજરાતનો ઇતિહાસ જાણવો
dholavira archaeological site vishe mahiti aapo,gu,roman,Gujarat,heritage_information,ધોળાવીરા આર્કિયોલોજિકલ સાઇટ વિશે માહિતી આપો
patola silk weaving kai rite thay chhe,gu,roman,Gujarat,craft_information,પટોળા સિલ્ક વીવિંગ કઈ રીતે થાય છે
garba nritya vishe janavo,gu,roman,Gujarat,festival_information,ગરબા નૃત્ય વિશે જાણવો
gandhinagar ma kai jova lakhay chhe,gu,roman,Gujarat,state_exploration,ગાંધીનગર માં કઈ જોવા લાયક છે
dwarka mandir vishe mahiti aapo,gu,roman,Gujarat,heritage_information,દ્વારકા મંદિર વિશે માહિતી આપો
kutch na hathkala vishe janavo,gu,roman,Gujarat,craft_information,કચ્છના હસ્તકલા વિશે જાણવો
gandhi ji nu jivan vishe batavo,gu,roman,Gujarat,person_information,ગાંધીજીનું જીવન વિશે બતાવો
rajkot ma kai heritage places chhe,gu,roman,Gujarat,state_exploration,રાજકોટ માં કઈ હેરિટેજ પ્લેસેસ છે
modhera surya mandir kya chhe,gu,roman,Gujarat,location_information,મોઢેરા સૂર્ય મંદિર ક્યાં છે
gujarat ni famous crafts kai chhe,gu,roman,Gujarat,craft_information,ગુજરાતની ફેમસ ક્રાફ્ટ્સ કઈ છે
jalaram bapa vishe janavo,gu,roman,Gujarat,person_information,જલારામ બાપા વિશે જાણવો
savaji bholanath vishe mahiti aapo,gu,roman,Gujarat,person_information,સાવજી ભોલાનાથ વિશે માહિતી આપો
ahmedabad ni old city vishe janavo,gu,roman,Gujarat,heritage_information,અમદાવાદની ઓલ્ડ સિટી વિશે જાણવો
gujarat ma kaya festivals manavama aave chhe,gu,roman,Gujarat,festival_information,ગુજરાત માં કયા ફેસ્ટિવલ્સ મનાવવામાં આવે છે
uttarayan kya kyare ujavama aave chhe,gu,roman,Gujarat,festival_information,ઉત્તરાયણ ક્યાં ક્યારે ઉજવામાં આવે છે
gujarat na famous temples kai chhe,gu,roman,Gujarat,heritage_information,ગુજરાતના ફેમસ મંદિરો કયા છે
patan ni rani ki vav vishe janavo,gu,roman,Gujarat,heritage_information,પાટણની રાણી કી વાવ વિશે જાણવો
gandhinagar thi somnath ketla km chhe,gu,roman,Gujarat,location_information,ગાંધીનગરથી સોમનાથ કેટલા કિમી છે
gujarat ma kai museums chhe,gu,roman,Gujarat,state_exploration,ગુજરાત માં કઈ મ્યુઝિયમ્સ છે
vadodara ma kai jova lakhay chhe,gu,roman,Gujarat,state_exploration,વડોદરા માં કઈ જોવા લાયક છે
surat ni history janavo,gu,roman,Gujarat,historical_period,સુરતની હિસ્ટોરી જાણવો
gujarat na stepwells vishe janavo,gu,roman,Gujarat,heritage_information,ગુજરાતના સ્ટેપવેલ્સ વિશે જાણવો
rajkot nu khojvato chhe,gu,roman,Gujarat,state_exploration,રાજકોટનું ખોજવું છે
kutch ma kai kila chhe,gu,roman,Gujarat,heritage_information,કચ્છ માં કઈ કિલ્લા છે
amdavad nu traditional food shu chhe,gu,roman,Gujarat,craft_information,અમદાવાદનું ટ્રેડિશનલ ફૂડ શું છે
champaner pavagadh no itihas janavo,gu,roman,Gujarat,historical_period,ચંપાનેર પાવાગઢનો ઇતિહાસ જાણવો
jama masjid ahmedabad vishe janavo,gu,roman,Gujarat,heritage_information,જામા મસ્જિદ અમદાવાદ વિશે જાણવો
kutch ni bandhani vishe batavo,gu,roman,Gujarat,craft_information,કચ્છની બાંધણી વિશે બતાવો
navratri ma garba kai rite khelay chhe,gu,roman,Gujarat,festival_information,નવરાત્રી માં ગરબા કઈ રીતે ખેલાય છે
jubilee garden rajkot ma shu chhe,gu,roman,Gujarat,heritage_information,જુબિલી ગાર્ડન રાજકોટ માં શું છે
dwarka kya chhe gujarat ma,gu,roman,Gujarat,location_information,દ્વારકા ક્યાં છે ગુજરાત માં
lothal archaeological site vishe mahiti aapo,gu,roman,Gujarat,heritage_information,લોથલ આર્કિયોલોજિકલ સાઇટ વિશે માહિતી આપો
gujarat na tribal heritage vishe janavo,gu,roman,Gujarat,heritage_information,ગુજરાતના ટ્રાઇબલ હેરિટેજ વિશે જાણવો
gandhinagar ma kaya heritage places chhe,gu,roman,Gujarat,state_exploration,ગાંધીનગર માં કઈ હેરિટેજ પ્લેસેસ છે
somnath mandir kya avelu chhe,gu,roman,Gujarat,location_information,સોમનાથ મંદિર ક્યાં આવેલું છે
