text,language,state,intent
Rajasthan ki virasat ke baare mein batao,hi,Rajasthan,state_exploration
gujarat ma kai jova lakhay chhe,gu,Gujarat,state_exploration
Can you help me find a job,en,,unknown
What is the history of Jaisalmer Fort,en,Rajasthan,historical_period
gujarat ma kai bird sanctuaries chhe,gu,Gujarat,state_exploration
What is the significance of Raigad Fort,en,Maharashtra,heritage_information
vastral ma kai chhe,gu,Gujarat,craft_information
Describe the traditional blue pottery of Jaipur,en,Rajasthan,craft_information
Who built Rani ki Vav in Patan,en,Gujarat,person_information
Describe the Goan Cashew and Feni tradition,en,Goa,craft_information
rajkot nu science museum chhe kya,gu,Gujarat,location_information
I want to visit Gujarat for heritage tourism,en,,state_exploration
Tell me about dinosaurs,en,,unknown
Tamil Nadu ina pagudhigalai patri sollunga,ta,Tamil Nadu,state_exploration
Tell me about the Toorji Ka Jhalra stepwell,en,Rajasthan,heritage_information
gujarat na kai jyotirlinga chhe,gu,Gujarat,heritage_information
modhera surya mandir vishe mahiti aapo,gu,Gujarat,heritage_information
bhuj ma kai jova lakhay chhe,gu,Gujarat,state_exploration
Tell me about crafts of India,en,,craft_information
तमिऴ्नाड்டின் பாரம்பரிய இடங்களைப் பற்றி சொல்லுங்கள்,ta,Tamil Nadu,heritage_information
Where is Rani ki Vav located,en,Gujarat,location_information
somanath thi dwarka ketla km chhe,gu,Gujarat,location_information
What is the importance of Somnath Temple,en,Gujarat,heritage_information
What festivals are celebrated in Gujarat,en,Gujarat,festival_information
Tell me about the tribal heritage of Gujarat,en,Gujarat,heritage_information
Can you help me book a flight,en,,unknown
Tell me about the ancient ports of Gujarat,en,Gujarat,historical_period
sabse purana mandir konsa hai,hi,,heritage_information
maharashtratil sanskrutik varsa sang,mr,Maharashtra,state_exploration
What is the significance of Pratapgad Fort,en,Maharashtra,heritage_information
ahmedabad nu jovanu shu chhe,gu,Gujarat,state_exploration
What is the Mughal connection to Rajasthan,en,Rajasthan,historical_period
Which cities in Gujarat have historical importance,en,Gujarat,state_exploration
Tell me about the Indus Valley Civilization at Dholavira,en,Gujarat,historical_period
What makes Patola weaving unique,en,Gujarat,craft_information
Tell me about Ranjit Singh's legacy,en,Punjab,person_information
What happened at Jallianwala Bagh,en,Punjab,heritage_information
gujarat ma kai dharohar chhe,gu,Gujarat,heritage_information
What is Bandhani textile art,en,Gujarat,craft_information
jamnagar ni maharaja palace vishe janavo,gu,Gujarat,heritage_information
Can you tell me about Indian culture,en,,heritage_information
amritsar bare daso,pa,Punjab,heritage_information
Tell me about the Wooden Archives of Kutch,en,Gujarat,craft_information
gujarat na heritage batavo,gu,Gujarat,state_exploration
Tell me about the Red Fort history and Mughal architecture,en,Delhi,heritage_information
Tell me about the Maratha Empire history,en,Maharashtra,historical_period
What are the main attractions in Gujarat,en,Gujarat,state_exploration
Describe the Goa Inquisition history,en,Goa,historical_period
What is the Gateway of Rajasthan,en,Rajasthan,heritage_information
Describe the traditional Punjabi Jutti footwear craft,en,Punjab,craft_information
Tell me about Ahmedabad ni old city,en,Gujarat,heritage_information
Tell me about Indian stepwell architecture,en,Gujarat,craft_information
What historical places are important in India,en,,state_exploration
What is the significance of Se Cathedral,en,Goa,heritage_information
Describe the traditional Tamilnadu bronze iconography,en,Tamil Nadu,craft_information
Describe the Ganpatipule temple tradition,en,Maharashtra,heritage_information
Tell me about quantum physics,en,,unknown
Tell me about the weather in Gujarat,en,,unknown
How do I get a passport,en,,unknown
gandhinagar ma kaya heritage places chhe,gu,Gujarat,state_exploration
Tell me about Champaner heritage,en,Gujarat,heritage_information
gujarat ma kaya temples farva laayak chhe,gu,Gujarat,state_exploration
Maharashtra chi killa kuthhe ahet,mr,Maharashtra,heritage_information
What is the importance of Dwarka in Hindu tradition,en,Gujarat,heritage_information
What is the architectural style of Sarkhej Roza,en,Gujarat,heritage_information
What is the history of Lahore connection to Punjab,en,Punjab,historical_period
What is the significance of Ajmer Sharif Dargah,en,Rajasthan,heritage_information
Describe the Chandni Chowk street food heritage,en,Delhi,craft_information
madhya pradesh ke tribal arts dikhao,hi,Madhya Pradesh,craft_information
bharat me konsi jagah sabse zyada famous hai,hi,,state_exploration
Tell me about the Elephanta Caves,en,Maharashtra,heritage_information
What is the history of Dhar and Mandu,en,Madhya Pradesh,historical_period
Rajasthan mein kya dekhna chahiye,hi,Rajasthan,state_exploration
Tamil Nadu koilgalai patri sollunga,ta,Tamil Nadu,heritage_information
Tell me about Golden Temple,en,Punjab,heritage_information
maharashtratil prasiddha kille sang,mr,Maharashtra,heritage_information
Tell me about the Bajirao legacy,en,Maharashtra,person_information
maharashtratil prasiddha temples sang,mr,Maharashtra,heritage_information
Tell me about Patiala and its heritage,en,Punjab,heritage_information
gandhi jayanti par kya karvama aave,gu,Gujarat,festival_information
bom jesus church ka itihas batao,hi,Goa,heritage_information
kanchipuram silk pathi sollunga,ta,Tamil Nadu,craft_information
Hawa Mahal kyun famous hai,hi,Rajasthan,heritage_information
Tell me about the Konkan heritage coast,en,Maharashtra,heritage_information
Tell me about the Indus Valley ruins at Dholavira,en,Gujarat,historical_period
Describe the traditional Garba dance,en,Gujarat,festival_information
punjab di virasat bare daso,pa,Punjab,state_exploration
Tell me about the Mehrangarh Fort in Jodhpur,en,Rajasthan,heritage_information
rani ki vav vishe janavo,gu,Gujarat,heritage_information
india gate kyun bana,hi,Delhi,heritage_information
Tell me about the Kapra weaving tradition,en,Punjab,craft_information
What is the Jantar Mantar observatory,en,Delhi,heritage_information
Who was Maharana Pratap,en,Rajasthan,person_information
bharat me sabse purana temple konsa hai,hi,,heritage_information
Tell me about Chandni Chowk history,en,Delhi,historical_period
Who was Adil Shah and Goa connection,en,Goa,person_information
sabarmati ashram kya avelu chhe,gu,Gujarat,heritage_information
Blue pottery kaise banti hai,hi,Rajasthan,craft_information
